,Missing states
0,Arkansas
1,Colorado
2,Connecticut
3,Georgia
4,Illinois
5,Indiana
6,Iowa
7,Louisiana
8,Maryland
9,Massachusetts
10,Minnesota
11,Mississippi
12,Missouri
13,Montana
14,North Dakota
15,Ohio
16,Oklahoma
17,Oregon
18,South Dakota
19,Tennessee
20,Vermont
21,Wisconsin
22,Wyoming
